route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
7,transurb,7,Micro 19 - Piața Centrală,0,C3D7FF,000000
9,transurb,9,Cimitirul Sfântul Lazăr - Gara C.F.R.,3,E1B348,000000
10,transurb,10,Micro 19 - Damen,3,F99BAD,000000
24,transurb,24,Shopping City - Damen,3,6CC39F,000000
26,transurb,26,Micro 13 - Gara C.F.R.,3,F770B9,000000
28,transurb,28,Micro 19 - Bariera Traian,3,3AD1FB,000000
30,transurb,30,Micro 19 - ADA Motors (Borcan),3,303030,FFFFFF
31,transurb,31,Micro 19 - Barboși,3,A94023,FFFFFF
32,transurb,32,Micro 19 - Plaja Dunărea,3,039BE5,000000
33,transurb,33,Țiglina 2 - Plaja Dunărea,3,006064,FFFFFF
34,transurb,34,Micro 13 - Intfor,3,F1EB2C,000000
35,transurb,35,Piața centrală - Metro,3,89B1F5,000000
37,transurb,37,Levaditti - Trecere BAC,3,F5996A,000000
38,transurb,38,Micro 19 - Cartier Locuințe Sociale M17 - Micro 19,3,C350E9,000000
39,transurb,39,Micro 19 - Depou,0,8A99B8,000000
39B,transurb,39B,Bariera Traian - Cimitirul Ștefan cel Mare,3,BEF0FE,000000
41,transurb,41,Dimitrie Cantemir - Micro 19,3,4054C7,FFFFFF
43,transurb,43,Căminele combinatului - Piața Energiei,3,AA00FF,FFFFFF
44,transurb,44,COMAT - Piața Centrală,0,8578FF,000000
50,transurb,50,Din Vale - Piața centrală,3,DD143C,FFFFFF
55,transurb,55,Poligonului Vale - Piața centrală,3,305CDF,FFFFFF
102,transurb,102,Micro 19 - Bariera Traian,11,26D100,000000
105,transurb,105,Micro 19 - Grădina publică,3,FB483A,000000
106,transurb,106,Micro 19 - Gara C.F.R.,3,400244,FFFFFF
