stop_id,stop_name,stop_lat,stop_lon
A-J-O-F-M-6879824373,A.J.O.F.M.,45.4569492,28.0477278
ADA-MOTORS-BORCAN-14093112486,ADA Motors (Borcan),45.4079702,27.9770200
ADA-MOTORS-BORCAN-14093112487,ADA Motors (Borcan),45.4080801,27.9770381
AGENTIA-DE-VOIAJ-CFR-530256244,Agenția de Voiaj CFR,45.4310705,28.0466092
ALUNULUI-14103799419,Alunului,45.5261204,28.0312230
ALUNULUI-14104199085,Alunului,45.5262389,28.0311032
ANA-IPATESCU-14090438575,Ana Ipătescu,45.4370553,28.0677920
ANA-IPATESCU-14090438578,Ana Ipătescu,45.4370917,28.0680707
ANGHEL-SALIGNY-ECOSAL-14101559988,Anghel Saligny (Ecosal),45.4404536,28.0260957
APATERM-6963443058,Apaterm,45.4332177,28.0335997
ATAC-14086946891,ATAC,45.4039373,28.0200582
AUTOGARA-6881503385,Autogară,45.4433347,28.0585570
AUTOMECANICA-6899023165,Automecanica,45.4749344,28.0339283
AUTOMECANICA-6899152596,Automecanica,45.4743560,28.0337685
AVRAM-IANCU-14103799421,Avram Iancu,45.5228171,28.0314003
AVRAM-IANCU-14104199083,Avram Iancu,45.5227882,28.0312855
BAIA-COMUNALA-14101559979,Baia Comunală,45.4435503,28.0469333
BAIA-COMUNALA-14101559980,Baia Comunală,45.4435010,28.0469071
BAIA-COMUNALA-6906785250,Baia comunală,45.4433732,28.0470814
BAIA-COMUNALA-6906838262,Baia comunală,45.4432424,28.0470002
BARBOSI-14090544333,Barboși,45.3979735,27.9857382
BARIERA-TRAIAN-6895570666,Bariera Traian,45.4653144,28.0362148
BARIERA-TRAIAN-6899023170,Bariera Traian,45.4656738,28.0355956
BARIERA-TRAIAN-6906838265,Bariera Traian,45.4648565,28.0357945
BELARUS-14104199090,Belarus,45.5308192,28.0302218
BINGO-EUROPA-6896006831,Bingo Europa,45.4311118,28.0207200
BISERICA-SF-MINA-14101559976,Biserica Sf. Mina,45.4405146,28.0257406
BISERICA-SFANTUL-VASILE-6894604138,Biserica „Sfântul Vasile”,45.4316985,28.0214114
BLOC-A8-6892672446,Bloc A8,45.4113856,28.0083163
BLOC-ALBATROS-614962899,Bloc Albatros,45.4369171,28.0526448
BLOC-B3-6893391127,Bloc B3,45.4110405,28.0084235
BLOC-BUJOR-NUFAR-14088449868,Bloc Bujor/Nufăr,45.4317467,28.0129793
BLOC-BUJOR-NUFAR-14088455589,Bloc Bujor/Nufăr,45.4317808,28.0131788
BLOC-C5A-6963443063,Bloc C5A,45.4374314,28.0274140
BLOC-C8A-6960963005,Bloc C8A,45.4372668,28.0275013
BLOC-D19-14099815414,Bloc D19,45.4162931,28.0226763
BLOC-D19-6896713526,Bloc D19,45.4163758,28.0229189
BLOC-E6-6875033914,Bloc E6,45.4236003,28.0374999
BLOC-E6-6878887486,Bloc E6,45.4233106,28.0368243
BLOC-IALOMITA-6879824354,Bloc Ialomița,45.4495658,28.0524493
BLOC-L-14099815425,Bloc L,45.4507214,28.0236590
BLOC-L-14099845122,Bloc L,45.4507807,28.0235499
BLOC-L-6896006843,Bloc L,45.4508738,28.0234253
BLOC-L3-14088247734,Bloc L3,45.4213951,28.0132961
BLOC-O-14099845133,Bloc O,45.4163509,28.0225712
BLOC-O-6897924687,Bloc O,45.4164428,28.0227571
